Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AE,KZ,,,6,live,Number of specimens,T,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,AE,KZ,,,3,live,Number of specimens,Z,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CH,AT,KZ,,1,bodies,,P,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CN,NL,US,1,,bodies,Number of specimens,E,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CN,NL,US,,1,bodies,,T,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,AT,,1,,live,Number of specimens,T,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,XV,FR,DE,,1,live,Number of specimens,Q,C
2023,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,XV,FR,KZ,,1,live,Number of specimens,Q,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CA,US,,1,,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CY,IN,,,2,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,DE,,1,1,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,PL,CZ,,1,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,SE,,1,,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,SE,,,1,live,,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,GB,SK,CZ,,1,live,,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,IN,NL,,1,,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,KR,CA,,1,1,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,KR,JP,,2,,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,MX,GB,NL,,1,bodies,Number of specimens,T,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NZ,AU,,2,,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,TR,FR,HU,1,,live,Number of specimens,Z,C
2023,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,TR,HU,,,1,live,,Z,C
2023,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,GB,US,,,4,bones,Number of specimens,S,C
