title,creators,publication_date,publisher_country,distributor_country,publisher,distributor,doi,url
Eight new species of Empoasca (Hemiptera: Cicadellidae: Typhlocybinae: Empoascini) from Peru and Bolivia,Phillip Sterling Southern,2010-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.196388,
A taxonomic revision of South American species of the seed-harvester ant genus Pogonomyrmex (Hymenoptera: Formicidae). Part I,,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4029.1.1,
New minute Drilini species significantly extend the distributions of Lolosia and Microselasia (Coleoptera: Elateridae: Agrypninae) in tropical Africa,Robin Kundrata,2018-11-23,SWITZERLAND,,Plazi,,10.2478/aemnp-2018-0042,
Description of a new species of Hamamelistes forming galls on Fothergilla spp (Hamamelidaceae) and the generic limits of Hormaphidini (Sternorrhyncha Aphididae: Hormaphidinae),Ashley E. Dederich; Susan E. Halbert; Carol D. Von Dohlen,2022-09-12,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/dz7y3x,
"Review of Goniozus Förster, 1856 (Hymenoptera: Bethylidae) of Korea, with descriptions of two new species",Jongok Lim; Seunghwan Lee,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.210794,
Contribution des motifs colorés résiduels dans la discrimination d’espèces nouvelles de Cryptochorda Mörch 1858 Mollusca: Gastropoda: Harpidae de l’Éocène du bassin de Paris et du Cotentin,Jean-Michel Pacaud; Frédéric Sautereau,2020-12-17,SWITZERLAND,,Plazi,,10.5252/geodiversitas2020v42a29,
"Johnius sasakii, a new species of croaker (Perciformes: Sciaenidae) with a key to Johnius from East Malaysia, Borneo",Norhafiz Hanafi; Meng-Hsien Chen; Ying Giat Seah; Chih-Wei Chang; Shang Yin Vanson Liu; Ning Labbish Chao,2022-03-21,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.15468/smn6re,
Oroides pakaluki new genus and new species of Coccidulini from New Guinea (Coleoptera: Coccinellidae),Wioletta Tomaszewska; Adam Ślipiński,2012-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.279902,
"Description of a new species of Bothinodroctonus Schedl, 1969 (Coleoptera: Curculionidae, Scolytinae) from Africa",Miloš Knížek; Michail Mandelshtam,2015-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3964.2.8,
Descriptions of larvae of four species of Hydropsyche (Hydropsychidae: Trichoptera) from Thailand,Taeng On Prommi,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4158.4.9,
"New and little known species of ptyctimous mites (Acari, Oribatida) from Madagascar",Wojciech Niedbała; Josef Starý,2016-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4103.6.8,
Hornmilben (Oribatida) [pages 102 to 148],G. Weigmann; L. Miko,2006-12-31,SWITZERLAND,,Plazi,,10.15468/iaok1x,
"Nippontonia ashmoreiensis sp. nov., (Crustacea: Decapoda; Pontoniinae) from Ashmore Reef, Western Australia",A. J. Bruce,2014-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.3847.3.8,
"Some soil-inhabiting mites (Acari: Mesostigmata) from Kazakhstan, with description of a new species of Gaeolaelaps Evans & Till (Acari: Laelapidae)",Omid Joharchi; Aigerim K. Issakova; Olga S. Asyamova; Mohammadhassan Abbasi Sarcheshmeh; Andrei V. Tolstikov,2020-07-24,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4819.3.3,
"The Culicidae (Diptera): a review of taxonomy, classification and phylogeny *",Ralph E. Harbach,2007-12-31,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.5281/zenodo.180118,
Type material of Arctiinae (Lepidoptera: Erebidae) in the collection of the Museo Argentino de Ciencias Naturales Bernardino Rivadavia (Buenos Aires Argentina),Joanna Rodriguez-Ramirez; Hernan Mario Beccacece; Lívia Rodrigues Pinheiro; Juan Grados; Maria Lucila Morono-Brizuela,2020-02-21,NEW_ZEALAND,SWITZERLAND,Magnolia Press,Plazi,10.11646/zootaxa.4742.3.2,
