scientific_name,common_name,class_name,order_name,family_name,genus_name,species_name,assessment_year,species_recovery_score_best,species_recovery_category,conservation_legacy_category,conservation_dependence_category,conservation_gain_category,recovery_potential_category,url
Atlapetes pallidiceps,Pale-headed Brushfinch,AVES,PASSERIFORMES,PASSERELLIDAE,Atlapetes,pallidiceps,2021,8%,Critically Depleted,High,Zero,Low,High,https://www.iucnredlist.org/species/22721487/181562033
Bettongia lesueur,Boodie,MAMMALIA,DIPROTODONTIA,POTOROIDAE,Bettongia,lesueur,2021,20%,Critically Depleted,High,High,Low,Indeterminate,https://www.iucnredlist.org/species/2784/258664246
Buteo ridgwayi,Ridgway's Hawk,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Buteo,ridgwayi,2024,17%,Critically Depleted,High,Low,Low,High,https://www.iucnredlist.org/species/22695886/181707428
Calumma tarzan,,REPTILIA,SQUAMATA,CHAMAELEONIDAE,Calumma,tarzan,2024,17%,Critically Depleted,Low,High,Low,Medium,https://www.iucnredlist.org/species/193482/207710924
Anatolichthys transgrediens,Acigöl Killifish,ACTINOPTERYGII,CYPRINODONTIFORMES,APHANIIDAE,Anatolichthys,transgrediens,2024,15%,Critically Depleted,Zero,High,High,Indeterminate,https://www.iucnredlist.org/species/1850/19006201
Capra ibex,Alpine Ibex,MAMMALIA,ARTIODACTYLA,BOVIDAE,Capra,ibex,2021,79%,Moderately Depleted,High,Low,Zero,Low,https://www.iucnredlist.org/species/42397/219261343
Addax nasomaculatus,Addax,MAMMALIA,ARTIODACTYLA,BOVIDAE,Addax,nasomaculatus,2024,14%,Critically Depleted,Zero,Zero,Low,High,https://www.iucnredlist.org/species/512/50180603
Ammodorcas clarkei,Dibatag,MAMMALIA,ARTIODACTYLA,BOVIDAE,Ammodorcas,clarkei,2023,35%,Largely Depleted,Zero,Low,Zero,Medium,https://www.iucnredlist.org/species/1141/50181613
Anthropoides paradiseus,Blue Crane,AVES,GRUIFORMES,GRUIDAE,Anthropoides,paradiseus,2021,75%,Moderately Depleted,High,Medium,Medium,Medium,https://www.iucnredlist.org/species/22692109/177514877
Aponogeton satarensis,Pantura,LILIOPSIDA,ALISMATALES,APONOGETONACEAE,Aponogeton,satarensis,2024,63%,Moderately Depleted,High,High,Indeterminate,Indeterminate,https://www.iucnredlist.org/species/175222/7125282
Bison bison,American Bison,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bison,bison,2022,17%,Critically Depleted,High,Low,Low,Medium,https://www.iucnredlist.org/species/2815/123789863
Carcharodon carcharias,White Shark,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Carcharodon,carcharias,2021,59%,Moderately Depleted,Indeterminate,Indeterminate,Indeterminate,Indeterminate,https://www.iucnredlist.org/species/3855/212629880
Casarea dussumieri,Keel-scaled Boa,REPTILIA,SQUAMATA,BOLYERIDAE,Casarea,dussumieri,2024,15%,Critically Depleted,High,High,Zero,Low,https://www.iucnredlist.org/species/3989/152276140
Castor canadensis,North American Beaver,MAMMALIA,RODENTIA,CASTORIDAE,Castor,canadensis,2024,83%,Slightly Depleted,High,Low,Zero,Low,https://www.iucnredlist.org/species/4003/22187946
Ciconia nigra,Black Stork,AVES,CICONIIFORMES,CICONIIDAE,Ciconia,nigra,2021,67%,Moderately Depleted,Medium,Zero,Medium,Medium,https://www.iucnredlist.org/species/22697669/111747857
Crocodylus mindorensis,Philippine Crocodile,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,mindorensis,2021,13%,Critically Depleted,High,High,High,Indeterminate,https://www.iucnredlist.org/species/5672/3048281
Ctenosaura oedirhina,Roatán Spiny-tailed Iguana,REPTILIA,SQUAMATA,IGUANIDAE,Ctenosaura,oedirhina,2022,57%,Moderately Depleted,High,Indeterminate,Zero,Indeterminate,https://www.iucnredlist.org/species/44191/122558520
Diceros bicornis,Black Rhino,MAMMALIA,PERISSODACTYLA,RHINOCEROTIDAE,Diceros,bicornis,2024,24%,Largely Depleted,High,Low,High,High,https://www.iucnredlist.org/species/6557/152728945
Enhydra lutris,Sea Otter,MAMMALIA,CARNIVORA,MUSTELIDAE,Enhydra,lutris,2024,47%,Largely Depleted,High,High,Low,High,https://www.iucnredlist.org/species/7750/219377647
Falco punctatus,Mauritius Kestrel,AVES,FALCONIFORMES,FALCONIDAE,Falco,punctatus,2022,17%,Critically Depleted,High,Low,Zero,Medium,https://www.iucnredlist.org/species/22696373/226885309
Geochelone platynota,Burmese Star Tortoise,REPTILIA,TESTUDINES,TESTUDINIDAE,Geochelone,platynota,2023,8%,Critically Depleted,High,High,High,High,https://www.iucnredlist.org/species/9013/123815185
Gopherus flavomarginatus,Bolson Tortoise,REPTILIA,TESTUDINES,TESTUDINIDAE,Gopherus,flavomarginatus,2023,33%,Largely Depleted,Zero,High,Zero,High,https://www.iucnredlist.org/species/9402/112660985
Graodus boucardi,Balsas Shiner,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Graodus,boucardi,2024,58%,Moderately Depleted,Medium,Indeterminate,Medium,Medium,https://www.iucnredlist.org/species/191271/257460548
